"dialect" "sex" "age"
"1" "TH" "F" 48
"2" "CH" "F" 69
"3" "TH" "F" 33
"4" "MB" "F" 48
"5" "TH" "F" 48
"6" "TH" "F" 48
"7" "MB" "F" 48
"8" "CH" "F" 48
"9" "CH" "F" 26
"10" "CH" "F" 21
"11" "CH" "F" 50
"12" "TH" "F" 36
"13" "CH" "F" 42
"14" "CH" "M" 48
"15" "MB" "F" 51
"16" "TH" "F" 43
"17" "TH" "F" 48
"18" "CH" "F" 49
"19" "MB" "F" 29
"20" "MB" "F" 64
"21" "CH" "F" 48
"22" "TH" "F" 48
"23" "CH" "F" 27
"24" "CH" "F" 48
"25" "CH" "F" 16
"26" "CH" "F" 32
"27" "MB" "F" 47
"28" "CH" "F" 48
"29" "TH" "F" 57
"30" "TH" "F" 64
"31" "TH" "F" 62
"32" "TH" "F" 43
"33" "CH" "F" 66
"34" "CH" "F" 30
"35" "TH" "F" 44
"36" "TH" "F" 53
"37" "MB" "M" 57
"38" "CH" "F" 23
"39" "CH" "F" 25
"40" "TH" "F" 49
"41" "CH" "F" 34
"42" "TH" "F" 40
"43" "TH" "F" 24
"44" "CH" "F" 104
"45" "TH" "F" 82
"46" "CH" "F" 89
"47" "TH" "F" 89
"48" "TH" "F" 40
"49" "MB" "M" 23
"50" "CH" "M" 55
"51" "OTH" "F" 33
"52" "CH" "F" 50
"53" "TH" "F" 64
"54" "CH" "F" 90
"55" "TH" "F" 62
"56" "TH" "F" 57
"57" "MB" "F" 97
"58" "CH" "M" 70
"59" "TH" "F" 45
"60" "MB" "F" 70
"61" "CH" "F" 42
"62" "TH" "M" 45
"63" "TH" "F" 38
"64" "CH" "F" 63
"65" "TH" "F" 30
"66" "TH" "M" 37
"67" "MB" "F" 48
"68" "MB" "F" 50
"69" "TH" "F" 60
"70" "TH" "F" 65
"71" "MB" "F" 82
"72" "CH" "F" 26
"73" "CH" "M" 50
"74" "CH" "M" 63
"75" "TH" "M" 32
"76" "CH" "M" 35
"77" "TH" "F" 87
"78" "TH" "F" 75
"79" "MB" "F" 35
"80" "MB" "M" 25
"81" "CH" "M" 60
"82" "TH" "M" 50
"83" "MB" "F" 44
"84" "CH" "F" 72
"85" "CH" "F" 39
"86" "MB" "F" 42
"87" "CH" "F" 40
"88" "MB" "F" 28
"89" "MB" "F" 35
"90" "TH" "F" 35
"91" "CH" "F" 49
"92" "CH" "F" 82
"93" "CH" "F" 90
"94" "TH" "F" 90
"95" "TH" "F" 50
"96" "CH" "F" 30
"97" "CH" "F" 36
"98" "CH" "F" 57
"99" "MB" "F" 32
"100" "CH" "M" 38
"101" "CH" "M" 110
"102" "TH" "F" 34
"103" "MB" "M" 34
"104" "CH" "M" 30
"105" "CH" "M" 35
"106" "MB" "M" 35
"107" "MB" "F" 35
"108" "MB" "F" 53
"109" "MB" "F" 95
"110" "CH" "F" 61
"111" "MB" "F" 35
"112" "OTH" "F" 47
"113" "MB" "F" 30
"114" "TH" "F" 29
"115" "TH" "F" 25
"116" "MB" "F" 32
"117" "CH" "F" 27
"118" "CH" "F" 25
"119" "CH" "F" 29
"120" "CH" "F" 27
"121" "OTH" "F" 32
"122" "CH" "F" 80
"123" "CH" "M" 85
"124" "CH" "F" 48
"125" "CH" "F" 48
"126" "CH" "F" 48
"127" "CH" "F" 48
"128" "CH" "F" 48
"129" "CH" "F" 48
"130" "CH" "F" 48
"131" "CH" "F" 48
"132" "CH" "F" 48
"133" "CH" "F" 48
"134" "CH" "F" 48
"135" "CH" "F" 48
"136" "CH" "F" 48
"137" "CH" "F" 48
"138" "CH" "F" 48
"139" "CH" "F" 48
"140" "CH" "F" 48
"141" "CH" "F" 48
"142" "CH" "F" 48
"143" "CH" "F" 48
"144" "CH" "F" 48
"145" "CH" "F" 48
"146" "CH" "F" 48
"147" "CH" "F" 48
"148" "CH" "F" 48
"149" "CH" "F" 48
"150" "CH" "F" 48
"151" "CH" "F" 48
"152" "CH" "F" 48
"153" "CH" "F" 48
"154" "CH" "F" 48
"155" "CH" "F" 48
"156" "CH" "F" 48
